Name,Description,SnapshotId,Region,Encrypted,OwnerId,StartTime,VolumeId,VolumeSize,StorageTier,RestoreExpiryTime,Tags
Commercial Hub 2020-12-04 Snapshot,AutomatiCloud Snapshot,snap-0c3dcbc724ad21567,us-east-1,False,993814764642,2020-12-04 15:52:59.744000+00:00,vol-947259d7,80,standard,,"""i-0791a1ef39e78f99d-201904231008542334"": ""DAILY"", ""Name"": ""Commercial Hub 2020-12-04 Snapshot"""
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-0d501b938970b2541,snap-0ec8f5c7b20e716d4,us-east-1,False,993814764642,2023-04-01 07:06:58.412000+00:00,vol-0519557e3c89d15a6,80,standard,,"""aws:backup:source-resource"": ""i-03258b739120ff3c3:9B01FBFC-C551-495E-F0F4-6C6D3DF9E5D1"", ""Name"": ""WebFront2"""
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-059bbf64a50f6d7e9,snap-0ba0989be129a3259,us-east-1,False,993814764642,2023-03-29 07:11:49.619000+00:00,vol-0519557e3c89d15a6,80,standard,,"""aws:backup:source-resource"": ""i-03258b739120ff3c3:291A52A6-6A9E-0B50-F3B4-6064B973566D"", ""Name"": ""WebFront2"""
DataHub4 Rabbit Drive,Created by CreateImage(i-f5b79090) for ami-0bf3c3493b825e351,snap-0af3b135a35ae2615,us-east-1,False,993814764642,2023-03-25 08:43:09.776000+00:00,vol-4a725909,300,standard,,"""aws:backup:source-resource"": ""i-f5b79090:189BE2EE-A4AD-3CC2-2DF9-B4CB9122B546"", ""Name"": ""DataHub4 Rabbit Drive"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-01ea2d37d00913efd,snap-064a7f09b69c8c7e3,us-east-1,False,993814764642,2023-03-25 07:05:54.777000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:A087B7AE-8E89-7570-C83C-840C5185AF81"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-0d5b395b31880926b,snap-03408441373d33a47,us-east-1,False,993814764642,2023-03-18 06:55:27.882000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:56F25EE5-9A12-4C4A-2CCF-3ABD39CEEAF5"""
DataHub4 Rabbit Drive,Created by CreateImage(i-f5b79090) for ami-0e79327815503a803,snap-0be008deaf57a6cd8,us-east-1,False,993814764642,2023-03-11 08:43:53.043000+00:00,vol-4a725909,300,standard,,"""aws:backup:source-resource"": ""i-f5b79090:F46B7680-6E5C-5983-BB58-BD138D62AD6D"", ""Name"": ""DataHub4 Rabbit Drive"""
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-07560a4e9842d8fae,snap-0974e509c20bc7e5d,us-east-1,False,993814764642,2023-03-08 07:10:34.751000+00:00,vol-0519557e3c89d15a6,80,standard,,"""aws:backup:source-resource"": ""i-03258b739120ff3c3:0EC9AC98-2485-2257-B1AF-8D0BEFE81EF9"", ""Name"": ""WebFront2"""
DataHub4 C Drive,Created by CreateImage(i-f5b79090) for ami-08f6494ef63535cc9,snap-076c670b5ef54ddb8,us-east-1,False,993814764642,2023-03-01 08:42:41.939000+00:00,vol-947259d7,80,standard,,"""aws:backup:source-resource"": ""i-f5b79090:80061E15-E224-537A-7424-249133DFF727"", ""Name"": ""DataHub4 C Drive"""
DataHub4 Rabbit Drive,Created by CreateImage(i-f5b79090) for ami-08f6494ef63535cc9,snap-0392a02257584e95c,us-east-1,False,993814764642,2023-03-01 08:42:41.939000+00:00,vol-4a725909,300,standard,,"""aws:backup:source-resource"": ""i-f5b79090:80061E15-E224-537A-7424-249133DFF727"", ""Name"": ""DataHub4 Rabbit Drive"""
