DBSnapshotIdentifier,DBInstanceIdentifier,Region,SnapshotCreateTime,Engine,AllocatedStorage,Status,Tags
awsbackup:job-01a8c207-e03c-1e6a-dd8a-252b1edc0703,aws-ci,us-east-1,2023-05-17 07:26:02.261000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-036a913a-d9d3-016f-be93-bd38fe357a42,licensing-prod-2,us-east-1,2023-01-25 06:37:57.490000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-04ef41d5-88dd-8acd-21e3-6f4a13e45fce,licensing-prod,us-east-1,2023-04-08 06:47:34.535000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-06da9363-5e8d-3ae8-19b4-a636efb96bdb,licensing-prod,us-east-1,2023-07-12 07:45:22.344000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-07c82d55-88bc-7b02-a526-12df65e1d6e6,aws-ci,us-east-1,2023-02-18 07:05:33.344000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-083d6e0a-9c1c-0db9-68b1-494539c7dfc1,licensing-prod,us-east-1,2023-02-11 06:41:09.754000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-08d27e83-7b03-7dc1-8a0a-4e3ce29066a2,licensing-prod,us-east-1,2023-02-15 06:42:09.234000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-09d343e8-f53f-1348-6875-9822f668defd,licensing-prod,us-east-1,2023-04-19 06:45:23.441000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-0ace9aa4-ff4f-29da-411b-bdd0884b0e27,licensing-prod,us-east-1,2023-04-01 06:43:11.685000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-0ae6693b-18a4-3984-438b-8eadfe16b3a9,aws-ni,us-east-1,2023-03-22 07:02:57.253000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-0af0827e-474e-9613-b1c9-7dd808f26388,licensing-prod,us-east-1,2023-03-11 06:43:53.108000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-0c0d4236-a4be-4d05-b9fb-181f32c18766,aws-ci,us-east-1,2023-04-08 07:03:20.301000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-0da5a809-5c2b-51d6-2fb7-be3563b07f64,licensing-prod,us-east-1,2023-03-04 06:41:53.055000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-0e5ee55a-22df-c510-1213-6243547fdb0b,aws-ni,us-east-1,2023-05-17 07:20:57.048000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-114bcd77-08f8-7d23-88c8-52df4f50551c,licensing-prod,us-east-1,2023-06-10 08:35:38.228000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-13b81ed4-42e3-f7ab-7db2-1c1dcad25c87,licensing-prod,us-east-1,2023-06-14 07:40:44.840000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-13dccf82-6422-89ae-955e-33f73d54f04b,aws-ni,us-east-1,2023-05-03 07:24:52.226000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-14300ef5-22c1-1da7-dff0-cae546d11f10,aws-ci,us-east-1,2023-03-11 07:09:04.860000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-15136516-2b8a-52d3-9558-1ea2d763f031,aws-ni,us-east-1,2023-06-24 07:21:46.272000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-16968913-327b-c2b5-ac42-f4ca14f19cda,licensing-prod,us-east-1,2023-05-20 09:59:59.419000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-16a6aaf1-7593-4ac0-dc38-0f007942443a,licensing-prod,us-east-1,2023-05-03 07:42:46.892000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-16cec3d4-f2f7-a23c-4352-18a9556c8870,aws-ni,us-east-1,2023-04-12 07:06:40.764000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-1935f621-a356-ec95-5560-b37abda43840,aws-ni,us-east-1,2023-06-14 07:25:49.631000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-1a509466-2c53-01ea-637b-c6ef49ae7c62,licensing-prod,us-east-1,2023-03-01 06:46:21.202000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-1ade1438-ea13-b646-b6a9-fc8cbe3e8aee,aws-ci,us-east-1,2023-07-01 07:28:55.466000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-1bffc92c-38bf-7039-6f1d-46f2843d7ed4,licensing-prod,us-east-1,2023-06-07 07:36:42.353000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-21fa25dd-a5c2-3959-b4f9-3256a9f6626f,aws-ci,us-east-1,2023-07-15 07:34:18.882000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-23faed63-1f36-4ae0-7a49-0e4fd4bddb4b,aws-ni,us-east-1,2023-02-08 07:03:01.799000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-2677e056-9188-b42d-a0ed-40c9e876a7c8,licensing-prod,us-east-1,2023-04-22 06:48:37.961000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-2755d761-8ecd-e558-c165-a63f5b661be5,aws-ni,us-east-1,2023-02-04 06:59:27.815000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-27567225-b28e-f74c-3e2e-569989f4b79b,aws-ni,us-east-1,2023-04-19 07:05:47.349000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-2bee584d-36f4-f6f1-998c-30eb8625f6ce,aws-ni,us-east-1,2023-03-11 07:06:34.642000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-2c076715-e6ec-cb58-68df-f0ee955fa78c,licensing-prod,us-east-1,2023-02-22 06:45:09.664000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-2c82992d-54c9-d7f4-8014-ad5ed36df44a,aws-ni,us-east-1,2023-06-10 07:26:29.107000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-2d3d78e8-93ea-4b7e-2b21-fcabdfb863ac,aws-ci,us-east-1,2023-05-06 07:30:18.771000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-2d7de608-0bc1-5d7e-baae-71c1c94fc648,aws-ci,us-east-1,2023-05-10 07:30:02.234000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-2d8f8a74-46f0-4d43-7f20-93dc1d0958a1,licensing-prod,us-east-1,2023-07-08 10:28:02.762000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-2fc48006-e216-3cff-ba67-eceed1a07d4a,aws-ci,us-east-1,2023-02-11 07:02:51.451000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-320c84c8-dbc3-d117-736d-24aa6b17d871,aws-ci,us-east-1,2023-03-04 07:08:23.460000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-329c2f21-6855-afc3-4811-2b7ee525b6ed,aws-ci,us-east-1,2023-02-15 07:04:52.546000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-338e6e06-f6c8-462f-4335-150deb4daf00,aws-ni,us-east-1,2023-07-01 07:22:48.687000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-351b6895-31a3-0216-701a-68c745e6c2e3,licensing-prod-2,us-east-1,2023-02-08 06:35:49.410000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-3531b627-3f20-fce4-357d-67b6a146d0ec,aws-ni,us-east-1,2023-07-08 07:23:22.372000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-35edddd9-de88-4f59-2558-ce30bd4168da,licensing-prod,us-east-1,2023-06-21 07:40:23.073000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-38522d0e-94f1-25ca-9eb8-126d483b4d44,aws-ci,us-east-1,2023-03-18 07:07:57.235000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-3890877b-3c98-8093-648e-3f71452e4362,aws-ci,us-east-1,2023-03-22 07:06:29.887000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-39d04500-5ce4-2057-77f2-9d8a9d73db96,licensing-prod-2,us-east-1,2023-01-28 06:35:04.802000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-3b2dedcb-65de-99c8-5bbf-65f24b977d2a,licensing-prod,us-east-1,2023-03-08 06:42:27.188000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-3d6c583e-afe1-3e88-2a49-9f49112f6c38,licensing-prod-2,us-east-1,2023-02-01 06:40:25.778000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-3d8681f5-0171-0d05-fb9b-8b23345bae31,licensing-prod,us-east-1,2023-05-10 07:40:55.525000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-4190320f-1d63-9564-1795-7a7640efaa85,aws-ci,us-east-1,2023-05-13 07:32:03.519000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-42445d54-4987-448e-0bec-6346b568d64c,aws-ci,us-east-1,2023-03-29 07:10:46.337000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-4424cfa8-2d28-4777-8c0a-a8d1aa92f8e4,aws-ni,us-east-1,2023-04-22 07:01:37.973000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-44d4db77-e392-7e96-476b-866039268b29,aws-ni,us-east-1,2023-03-08 07:04:41.807000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-45804ece-be37-a4ab-0f78-df3e2cb20428,aws-ci,us-east-1,2023-06-17 07:28:43.690000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-478faec8-6073-e476-76b8-ef606d836756,aws-ni,us-east-1,2023-07-05 07:21:57.077000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-48aff462-6123-90be-b6d5-e4426522bb25,aws-ni,us-east-1,2023-06-07 07:20:58.475000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-497527c0-9f38-eb7c-fc1c-66f06c991f31,aws-ci,us-east-1,2023-04-15 07:04:51.668000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-4b64509f-c4db-cb5f-d9d7-5be1d7032be3,aws-ci,us-east-1,2023-07-12 07:31:02.988000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-4d1f2dd4-c4fe-763d-6272-fce1dc980c43,aws-ci,us-east-1,2023-04-29 07:30:52.668000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-4ef8dfc7-f8ae-5235-7f80-b0214490d11c,aws-ni,us-east-1,2023-05-24 07:23:52.953000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-504b6a1e-0e4f-a554-16c0-4dc3a77f7838,aws-ni,us-east-1,2023-04-15 07:03:50.771000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-525f4037-fa08-1a81-657a-a8bc9d8e94c5,aws-ci,us-east-1,2023-01-21 07:09:20.285000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-544207ee-5616-e4b5-d389-a638a7d322cf,licensing-prod,us-east-1,2023-06-28 07:39:03.137000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-550bca01-e5d2-0242-3a70-47188de57a07,licensing-prod,us-east-1,2023-02-18 06:45:26.216000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-560d4025-39cd-0aa0-af78-5d73beeda5aa,aws-ci,us-east-1,2023-05-20 07:30:23.698000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-5a1e7462-74fc-cc65-1ad0-286aab192128,aws-ni,us-east-1,2023-03-25 07:03:29.245000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-5c9edded-fb1c-70db-5b35-c8da627699dd,licensing-prod,us-east-1,2023-03-29 06:47:01.646000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-5d423e56-b419-ef2d-e277-751304681656,aws-ci,us-east-1,2023-06-03 07:29:19.276000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-5ddf2b2a-1327-3746-d13c-0cca063d2a6b,aws-ci,us-east-1,2023-05-03 07:30:27.278000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-5f7f38a7-d997-685a-4347-495086646a76,aws-ci,us-east-1,2023-05-31 07:34:34.148000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-60c39817-5d6d-1e2f-d431-2026e9192fc6,aws-ci,us-east-1,2023-04-19 07:05:16.209000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-634f9738-3a9d-8377-6a4b-176062d9e592,aws-ni,us-east-1,2023-02-11 07:00:18.705000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-6383f1b1-f39f-9653-d6c7-04fcf345d0ca,licensing-prod,us-east-1,2023-05-24 07:38:56.351000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-663f47ed-99d4-cd58-24ab-7ed2aaaf7c23,aws-ci,us-east-1,2023-06-07 07:32:13.111000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-66b56dde-e184-49b4-95b8-e9cbca255ec8,licensing-prod,us-east-1,2023-05-13 08:34:53.908000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-67545cbc-6de7-d170-46a0-a7a976ea7d5e,aws-ni,us-east-1,2023-05-13 07:22:54.163000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-6771dac7-71a1-e405-caab-21b7ed4fd1c4,aws-ni,us-east-1,2023-02-18 07:06:02.167000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-67e12d67-ec93-78ed-8a70-fbf5248a075f,aws-ni,us-east-1,2023-03-18 07:05:26.262000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-686b12d2-46b0-d848-6a90-9bc523680ed5,licensing-prod,us-east-1,2023-05-06 08:38:35.036000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-6d3b5a92-a5c9-ab93-1038-62a15acc836f,licensing-prod,us-east-1,2023-02-25 06:46:36.147000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-6e4329db-530d-7472-79b5-45e7347db264,licensing-prod,us-east-1,2023-06-03 08:38:35.639000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-6e7d94f0-0732-c809-1be4-1bcdb992b333,aws-ni,us-east-1,2023-01-21 07:05:16.263000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-6f422be1-acc3-b376-b48b-cc1c2bc30a97,aws-ni,us-east-1,2023-05-06 07:21:38.908000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-6f9b0771-afcd-dc73-dd9d-72593bbdfcab,aws-ni,us-east-1,2023-01-28 07:06:56.699000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-6fa56af8-05b6-2ca3-460a-0632fc90ae91,licensing-prod,us-east-1,2023-02-04 06:49:34.440000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-700f9afd-f3fe-0ca9-b065-1af1f9e5f2da,aws-ni,us-east-1,2023-03-29 07:06:11.995000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-71c44708-97a5-9be2-4c35-54c50f1d9f8b,licensing-prod,us-east-1,2023-04-26 06:46:41.130000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-730bfd64-a393-2213-5d9e-dfc269fdd803,aws-ci,us-east-1,2023-06-14 07:27:22.805000+00:00,mysql,20,available,"""env"": ""prod"""
